0,1,2,3,4,5,6,7,8,9
            欢迎吧友畅所欲言，欢迎来到hpv贴吧,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            致吧友书：,,,,,,,,,
            ,,,,,,,,,
            多多建言，多多益善,,,,,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            加油哦！！,,                        ,        ,        ,,,,,
            水,,                        ,        ,        ,,,,,
            水,,                        ,        ,        ,,,,,
            群主好！,,                        ,        ,        ,,,,,
            我水帖贼六,,                        ,        ,        ,,,,,
            病友们早点休息，别熬夜，要记得不熬夜比忌口更重要！,,                        ,        ,        ,,,,,
            +3,,,,,,,,,
            签到签到,,                        ,        ,        ,,,,,
            欢迎签到！签到的都是好同志！  不签到的也是好同志吧！,,,,,,,,,
            吧里都是在讨论高危的，请问有低危吗，11阳，很怕啊,,                        ,        ,        ,,,,,
            骗砸别来了，正规医院治疗的戳我,,,,,,,,,
            papapa32131      如此！,,                        ,        ,        ,,,,,
            顶一下,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            嗨,,                        ,        ,        ,,,,,
            如题,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            0私我,,                        ,        ,        ,,,,,
            ,,,,,,,,,
            ,,,,,,,,,
            集美,,                        ,        ,        ,,,,,
            感染hpv16和52,今天刚做了阴道镜和活检,医生怀疑是宫颈病变,三天后等活检结果,现在内心好煎熬,痛苦,,,,
            我前面18年孕前检查，16和52，我啥都没用，没管，我就怀孕了。后面过了两年。20年6月复查，16居然好了，但是52还在，我就用药了一段时间，然后半年了后，21年1月，复查。52还在，16又来了。所以做了阴道镜和活检，,,,,,,,,,
            我明天要去做活检了，我是31和68，阴道镜拟诊低度病变,,                        ,        ,        ,,,,,
            多久了啊！,,                        ,        ,        ,,,,,
            我也是刚做的活检，在等结果。,,                        ,        ,        ,,,,,
            你这碘着色不是挺好的吗,,                        ,        ,        ,,,,,
            可用半枝莲膏,,                        ,        ,        ,,,,,
            活检结果出来，,,                        ,        ,        ,,,,,
            唉，怎么办,,                        ,        ,        ,,,,,
            你生孩子顺产么？没传染孩子？,,                        ,        ,        ,,,,,
            hpv感染用半枝莲膏好。北京大学科研成果。一周两次，3月转阴。,,                        ,        ,        ,,,,,
            医院一般都是开干扰素，多运动，保持好心态，病毒就是你弱它更强，一定不要被吓倒，hpv提高免疫力对转阴有好处的，我之前感染hpv的时候医生也让提高免疫力，段芝堂hpv克星不是吃的是外抹的药油，也很神奇，抹上几个月复查转阴,,,,,,,,,
            你多大,,                        ,        ,        ,,,,,
            不管高危的还是低危的，HPV没有特殊的治疗方法，只能提高免疫力，补充维生素和蛋白质，然后吃点欣维安姬松茸，清除体内的病毒。,,                        ,        ,        ,,,,,
